competition,match_stage,date,venue,club,opponent,match_score,player_position,goal_minute,score_at_goal,goal_type,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
2ª B - Grupo III,2,2004-09-05,Home,FC Barcelona B,Girona FC,1:2,LW,65,1:2,Left-footed shot,Dani Fernández,2004-05,2000s,True,61-75
2ª B - Grupo III,4,2004-09-18,Home,FC Barcelona B,RCD Espanyol B,2:0,LW,88,2:0,Left-footed shot,Dani Fernández,2004-05,2000s,True,76-90
2ª B - Grupo III,10,2004-10-31,Away,FC Barcelona B,Villajoyosa CF,2:1,AM,2,0:1,Not reported,Not Applicable,2004-05,2000s,False,0-15
2ª B - Grupo III,14,2004-11-28,Away,FC Barcelona B,UE Figueres,2:2,AM,20,0:1,Not reported,Not Applicable,2004-05,2000s,False,16-30
2ª B - Grupo III,17,2004-12-19,Home,FC Barcelona B,CD Alcoyano,2:0,CF,40,2:0,Left-footed shot,Not Applicable,2004-05,2000s,True,31-45
2ª B - Grupo III,33,2005-04-23,Home,FC Barcelona B,UE Figueres,2:2,AM,15,2:0,Right-footed shot,Paco Montañés,2004-05,2000s,True,0-15
LaLiga,34,2005-05-01,Home,FC Barcelona,Albacete Balompié,2:0,CF,91,2:0,Left-footed shot,Ronaldinho,2004-05,2000s,True,91+
UEFA Champions League,Group Stage,2005-11-02,Home,FC Barcelona,Panathinaikos FC,5:0,RW,34,3:0,Left-footed shot,Not Applicable,2005-06,2000s,True,31-45
LaLiga,13,2005-11-27,Home,FC Barcelona,Racing Santander,4:1,RW,51,2:0,Left-footed shot,Samuel Eto'o,2005-06,2000s,True,46-60
LaLiga,19,2006-01-15,Home,FC Barcelona,Athletic Bilbao,2:1,RW,50,2:1,Left-footed shot,Mark van Bommel,2005-06,2000s,True,46-60
LaLiga,20,2006-01-22,Home,FC Barcelona,Deportivo Alavés,2:0,CF,82,2:0,Left-footed shot,Ronaldinho,2005-06,2000s,True,76-90
LaLiga,21,2006-01-29,Away,FC Barcelona,RCD Mallorca,0:3,CF,75,0:2,Right-footed shot,Sylvinho,2005-06,2000s,False,61-75
LaLiga,21,2006-01-29,Away,FC Barcelona,RCD Mallorca,0:3,CF,83,0:3,Left-footed shot,Ronaldinho,2005-06,2000s,False,76-90
Copa del Rey,Quarter-Finals,2006-02-01,Home,FC Barcelona,Real Zaragoza,2:1,CF,42,1:0,Header,Ludovic Giuly,2005-06,2000s,True,31-45
LaLiga,24,2006-02-18,Home,FC Barcelona,Real Betis Balompié,5:1,RW,84,5:1,Left-footed shot,Not Applicable,2005-06,2000s,True,76-90
LaLiga,1,2006-08-28,Away,FC Barcelona,Celta de Vigo,2:3,LW,59,1:2,Left-footed shot,Andrés Iniesta,2006-07,2000s,False,46-60
